survived,pclass,fare,sex,age
0,1,75.2417,male,46
0,1,51.8625,male,54
1,1,26.2875,male,36
0,1,82.1708,male,28
1,1,82.1708,female,NA
0,1,26.55,male,65
0,1,90,male,44
1,1,90,female,33
1,1,90,female,37
1,1,57.75,male,30
0,1,30.5,male,55
0,1,42.4,male,47
0,1,29.7,male,37
1,1,113.275,female,31
1,1,113.275,female,23
0,1,113.275,male,58
1,1,26.2833,female,19
0,1,26,male,64
1,1,108.9,female,39
1,1,25.7417,male,NA
1,1,61.9792,female,22
0,1,61.9792,male,65
0,1,27.7208,male,28.5
0,1,0,male,NA
0,1,28.5,male,45.5
0,1,93.5,male,23
0,1,66.6,male,29
1,1,66.6,female,22
0,1,108.9,male,18
1,1,108.9,female,17
1,1,93.5,female,30
1,1,30.5,male,52
0,1,52,male,47
1,1,83.1583,female,56
0,1,0,male,38
1,1,39.6,male,NA
0,1,135.6333,male,22
0,1,227.525,male,NA
1,1,211.3375,female,43
0,1,50.4958,male,31
1,1,26.55,male,45
0,1,50,male,NA
1,1,27.7208,female,33
0,1,79.2,male,46
0,1,40.125,male,36
1,1,86.5,female,33
0,1,59.4,male,55
1,1,59.4,female,54
0,1,26.55,male,33
1,1,262.375,male,13
1,1,262.375,female,18
1,1,262.375,female,21
0,1,262.375,male,61
1,1,262.375,female,48
1,1,30.5,male,NA
1,1,69.3,female,24
1,1,26,male,NA
1,1,57.75,female,35
1,1,31,female,30
1,1,26.55,male,34
1,1,153.4625,female,40
1,1,26.2875,male,35
0,1,55.9,male,50
1,1,55.9,female,39
1,1,35.5,male,56
1,1,35.5,male,28
0,1,26.55,male,56
0,1,30.6958,male,56
0,1,60,male,24
0,1,26,male,NA
1,1,60,female,18
1,1,82.2667,male,24
1,1,82.2667,female,23
1,1,134.5,male,6
1,1,134.5,male,45
1,1,134.5,female,40
0,1,146.5208,male,57
1,1,146.5208,female,NA
1,1,30.5,male,32
0,1,26.55,male,62
1,1,55.4417,male,54
1,1,55.4417,female,43
1,1,78.2667,female,52
0,1,27.7208,male,NA
1,1,80,female,62
0,1,221.7792,male,67
0,1,221.7792,female,63
0,1,32.3208,male,61
1,1,25.9292,female,48
1,1,79.65,female,18
0,1,79.65,male,52
1,1,79.65,female,39
1,1,52,male,48
1,1,52,female,NA
0,1,110.8833,male,49
1,1,110.8833,male,17
1,1,110.8833,female,39
1,1,79.2,female,NA
1,1,28.5375,male,31
0,1,27.7208,male,40
0,1,33.5,male,61
0,1,34.0208,male,47
1,1,512.3292,female,35
0,1,75.25,male,64
1,1,75.25,female,60
0,1,26.55,male,60
0,1,77.2875,male,54
0,1,77.2875,male,21
1,1,135.6333,female,55
1,1,164.8667,female,31
0,1,164.8667,male,57
1,1,164.8667,female,45
0,1,211.5,male,50
0,1,211.5,male,27
1,1,211.5,female,50
1,1,26.55,female,21
0,1,61.3792,male,51
1,1,61.3792,male,21
0,1,35,male,NA
1,1,134.5,female,31
1,1,35.5,male,NA
0,1,26.55,male,62
1,1,135.6333,female,36
0,2,24,male,30
1,2,24,female,28
0,2,13,male,30
0,2,11.5,male,18
0,2,10.5,male,25
0,2,26,male,34
1,2,26,female,36
0,2,13,male,57
0,2,11.5,male,18
0,2,10.5,male,23
1,2,13,female,36
0,2,10.5,male,28
0,2,12.525,male,51
1,2,26,male,32
1,2,26,female,19
0,2,26,male,28
1,2,39,male,1
1,2,39,female,4
1,2,39,female,12
1,2,39,female,36
1,2,13,male,34
1,2,13,female,19
0,2,13,male,23
0,2,13,male,26
0,2,13,male,42
0,2,13,male,27
1,2,13,female,24
1,2,39,female,15
0,2,39,male,60
1,2,39,female,40
1,2,26,female,20
0,2,26,male,25
1,2,13,female,36
0,2,13,male,25
0,2,13,male,42
1,2,13,female,42
1,2,29,male,0.83
1,2,29,male,26
1,2,29,female,22
1,2,21,female,35
0,2,0,male,NA
0,2,13,male,19
0,2,26,female,44
0,2,26,male,54
0,2,13.5,male,52
0,2,26,male,37
0,2,26,female,29
1,2,30,female,25
1,2,30,female,45
0,2,26,male,29
1,2,26,female,28
0,2,10.5,male,29
0,2,13,male,28
1,2,10.5,male,24
1,2,26.25,female,8
0,2,26.25,male,31
1,2,26.25,female,31
1,2,10.5,female,22
0,2,13,female,30
0,2,21,female,NA
0,2,11.5,male,21
0,2,0,male,NA
1,2,36.75,male,8
0,2,73.5,male,18
1,2,36.75,female,48
1,2,13,female,28
0,2,13,male,32
0,2,73.5,male,17
0,2,27.7208,male,29
1,2,27.7208,female,24
0,2,31.5,male,25
0,2,73.5,male,18
1,2,23,female,18
1,2,23,female,34
0,2,26,male,54
1,2,32.5,male,8
0,2,32.5,male,42
1,2,32.5,female,34
1,2,13.8583,female,27
1,2,13.8583,female,30
0,2,13,male,23
0,2,13,male,21
0,2,13,male,18
0,2,26,male,40
1,2,26,female,29
0,2,10.5,male,18
0,2,13,male,36
0,2,0,male,NA
0,2,13,female,38
0,2,26,male,35
0,2,21,male,38
0,2,21,male,34
1,2,13,female,34
0,2,26,male,16
0,2,10.5,male,26
0,2,10.5,male,47
0,2,11.5,male,21
0,2,11.5,male,21
0,2,13.5,male,24
0,2,13,male,24
0,2,13,male,34
0,2,13,male,30
0,2,13,male,52
0,2,13,male,30
1,2,14.5,male,0.67
1,2,14.5,female,24
0,2,13,male,44
1,2,33,female,6
0,2,33,male,28
1,2,10.5,male,62
0,2,10.5,male,30
1,2,26.25,female,7
0,2,26.25,male,43
1,2,26.25,female,45
1,2,65,female,24
1,2,65,female,24
0,2,65,male,49
1,2,65,female,48
1,2,16,female,55
0,2,73.5,male,24
0,2,73.5,male,32
0,2,73.5,male,21
0,2,13,female,18
1,2,23,female,20
0,2,11.5,male,23
0,2,13,male,36
1,2,23,female,54
0,2,13,male,50
0,2,26,male,44
1,2,26,female,29
0,2,73.5,male,21
1,2,13,male,42
0,2,26,male,63
0,2,26,female,60
0,2,12.275,male,33
1,2,10.5,female,17
0,2,27,male,42
1,2,27,female,24
0,2,15,male,47
0,2,31.5,male,24
0,2,31.5,male,22
0,2,10.5,male,32
1,2,13.7917,female,23
0,2,26,male,34
1,2,26,female,24
0,2,21,female,22
1,2,12.35,female,NA
0,2,12.35,male,35
1,2,13.5,female,45
0,2,12.35,male,57
0,2,0,male,NA
0,2,10.5,male,31
0,2,26,female,26
0,2,26,male,30
0,2,10.7083,male,NA
1,2,41.5792,female,1
1,2,41.5792,female,3
0,2,41.5792,male,25
1,2,41.5792,female,22
1,2,12,female,17
1,2,33,female,NA
1,2,10.5,female,34
0,2,12.875,male,36
0,2,10.5,male,24
0,2,12.35,male,61
0,2,26,male,50
1,2,26,female,42
0,2,10.5,female,57
0,2,15.0458,male,NA
1,2,37.0042,male,1
0,2,37.0042,male,31
1,2,37.0042,female,24
0,2,15.5792,male,NA
0,2,13,male,30
0,2,16,male,40
0,2,13.5,male,32
0,2,13,male,30
0,2,26,male,46
1,2,19.5,female,13
1,2,19.5,female,41
1,2,10.5,male,19
0,2,13,male,39
0,2,13,male,48
0,2,10.5,male,70
0,2,13,male,27
0,2,14,male,54
0,2,26,male,39
0,2,10.5,male,16
0,2,9.6875,male,62
0,2,30.0708,male,32.5
1,2,30.0708,female,14
1,2,26,male,2
1,2,26,male,3
0,2,26,male,36.5
0,2,13,male,26
0,2,36.75,male,19
0,2,13.5,male,28
1,2,13.8625,male,20
1,2,10.5,female,29
0,2,13,male,39
1,2,10.5,male,22
1,2,13.8625,male,NA
0,2,10.5,male,23
1,2,13.8583,male,29
0,2,10.5,male,28
0,2,0,male,NA
1,2,26,female,50
0,2,10.5,male,19
0,2,15.05,male,NA
0,2,13,male,41
1,2,21,female,21
1,2,26,female,19
0,2,21,male,43
1,2,13,female,32
0,2,13,male,34
1,2,12.7375,male,30
0,2,15.0333,male,27
1,2,26,female,2
1,2,26,female,8
1,2,26,female,33
0,2,10.5,male,36
0,2,21,male,34
1,2,21,female,30
1,2,13,female,28
0,2,15.0458,male,23
1,2,18.75,male,0.83
1,2,18.75,male,3
1,2,18.75,female,24
1,2,10.5,female,50
0,2,10.5,male,19
1,2,10.5,female,21
0,2,13,male,26
0,2,13,male,25
0,2,26,male,27
1,2,26,female,25
1,2,13,female,18
1,2,36.75,female,20
1,2,13,female,30
0,2,13.5,male,59
1,2,12.35,female,30
0,2,10.5,male,35
1,2,13,female,40
0,2,13,male,25
0,2,15.0458,male,41
0,2,10.5,male,25
0,2,13,male,18.5
0,2,65,male,14
1,2,10.5,female,50
0,2,13,male,23
1,2,12.65,female,28
1,2,10.5,female,27
0,2,21,male,29
0,2,21,female,27
0,2,13,male,40
1,2,21,female,31
0,2,21,male,30
0,2,10.5,male,23
1,2,21,female,31
0,2,0,male,NA
1,2,15.75,female,12
1,2,15.75,female,40
1,2,13,female,32.5
0,2,26,male,27
1,2,26,female,29
1,2,23,male,2
1,2,23,female,4
1,2,23,female,29
1,2,27.75,female,0.92
1,2,27.75,female,5
0,2,27.75,male,36
1,2,27.75,female,33
0,2,10.5,male,66
0,2,12.875,male,NA
1,2,13,male,31
1,2,13,male,NA
1,2,13.5,female,26
0,2,13,female,24
0,3,7.55,male,42
0,3,20.25,male,13
0,3,20.25,male,16
1,3,20.25,female,35
1,3,7.65,female,16
1,3,7.65,male,25
1,3,7.925,male,20
1,3,7.2292,female,18
0,3,7.25,male,30
0,3,8.05,male,26
0,3,9.475,female,40
1,3,9.35,male,0.83
1,3,9.35,female,18
1,3,18.7875,male,26
0,3,7.8875,male,26
0,3,7.925,male,20
0,3,7.05,male,24
0,3,7.05,male,25
0,3,8.05,male,35
0,3,8.3,male,18
0,3,22.525,male,32
1,3,7.8542,female,19
0,3,31.275,male,4
0,3,31.275,female,6
0,3,31.275,female,2
1,3,7.925,female,17
0,3,7.775,female,38
0,3,31.275,female,9
0,3,31.275,female,11
0,3,31.275,male,39
1,3,7.7958,male,27
0,3,7.775,male,26
0,3,31.275,female,39
0,3,7.8542,male,20
0,3,7.8958,male,26
0,3,17.8,male,25
0,3,17.8,female,18
0,3,7.775,male,24
0,3,7.05,male,35
0,3,31.3875,male,5
0,3,31.3875,male,9
1,3,31.3875,male,3
0,3,31.3875,male,13
1,3,31.3875,female,5
0,3,31.3875,male,40
1,3,7.7958,male,23
1,3,31.3875,female,38
1,3,7.225,female,45
0,3,7.225,male,21
0,3,7.05,male,23
0,3,14.4583,female,17
0,3,7.225,male,30
0,3,7.8542,male,23
1,3,7.2292,female,13
0,3,7.225,male,20
0,3,15.85,male,32
1,3,15.85,female,33
1,3,19.2583,female,0.75
1,3,19.2583,female,0.75
1,3,19.2583,female,5
1,3,19.2583,female,24
1,3,8.05,female,18
0,3,7.225,male,40
0,3,7.8958,male,26
1,3,7.2292,male,20
0,3,14.4542,female,18
0,3,14.4542,female,45
0,3,7.8792,female,27
0,3,8.05,male,22
0,3,8.05,male,19
0,3,7.775,male,26
0,3,9.35,male,22
0,3,7.2292,male,NA
0,3,4.0125,male,20
1,3,56.4958,male,32
0,3,7.775,male,21
0,3,7.75,male,18
0,3,7.8958,male,26
0,3,15.2458,male,6
0,3,15.2458,female,9
0,3,7.225,male,NA
0,3,15.2458,female,NA
0,3,7.75,female,NA
0,3,15.5,male,40
0,3,15.5,female,32
0,3,16.1,male,21
1,3,7.725,female,22
0,3,7.8542,female,20
0,3,7.0458,male,29
0,3,7.25,male,22
0,3,7.7958,male,22
0,3,8.05,male,35
0,3,7.2833,female,18.5
1,3,7.8208,male,21
0,3,6.75,male,19
0,3,7.8792,female,18
0,3,8.6625,female,21
0,3,8.6625,female,30
0,3,8.6625,male,18
0,3,8.6625,male,38
0,3,8.6625,male,17
0,3,8.6625,male,17
0,3,7.75,female,21
0,3,7.75,male,21
0,3,8.05,male,21
0,3,14.4583,male,NA
0,3,14.4583,female,NA
0,3,7.7958,male,28
0,3,7.8542,male,24
1,3,7.75,female,16
0,3,7.75,female,37
0,3,7.25,male,28
0,3,8.05,male,24
0,3,7.7333,male,21
1,3,56.4958,male,32
0,3,8.05,male,29
0,3,14.4542,male,26
0,3,14.4542,male,18
0,3,7.05,male,20
1,3,8.05,male,18
0,3,7.25,male,24
0,3,7.4958,male,36
0,3,7.4958,male,24
0,3,7.7333,male,31
0,3,7.75,male,31
1,3,7.75,female,22
0,3,7.6292,female,30
0,3,7.75,male,70.5
0,3,8.05,male,43
0,3,7.8958,male,35
0,3,7.8958,male,27
0,3,7.8958,male,19
0,3,8.05,male,30
1,3,15.9,male,9
1,3,15.9,male,3
1,3,15.9,female,36
0,3,7.25,male,59
0,3,8.1583,male,19
1,3,16.1,female,17
0,3,16.1,male,44
0,3,8.6625,male,17
0,3,7.225,male,22.5
1,3,8.05,male,45
0,3,10.5167,female,22
0,3,10.1708,male,19
1,3,6.95,female,30
1,3,7.75,male,29
0,3,14.4,male,0.33
0,3,14.4,male,34
0,3,14.4,female,28
0,3,7.8958,male,27
0,3,7.8958,male,25
0,3,24.15,male,24
0,3,8.05,male,22
0,3,24.15,male,21
0,3,8.05,male,17
0,3,16.1,male,NA
1,3,16.1,female,NA
1,3,17.4,male,36.5
1,3,17.4,female,36
1,3,9.5,male,30
0,3,9.5,male,16
1,3,20.575,male,1
1,3,20.575,female,0.17
0,3,20.575,male,26
1,3,20.575,female,33
0,3,7.8958,male,25
0,3,7.8958,male,NA
0,3,7.8958,male,NA
0,3,7.25,male,22
0,3,7.25,male,36
1,3,7.8792,female,19
0,3,7.8958,male,17
0,3,8.6625,male,42
0,3,7.8958,male,43
0,3,7.2292,male,NA
0,3,7.75,male,32
1,3,8.05,male,19
1,3,12.475,female,30
0,3,7.75,female,24
1,3,8.05,female,23
0,3,7.8958,male,33
0,3,7.75,male,65
1,3,7.55,male,24
0,3,13.9,male,23
1,3,13.9,female,22
0,3,7.775,male,18
0,3,7.775,male,16
0,3,6.975,male,45
0,3,7.225,male,NA
0,3,7.2292,male,39
0,3,7.2292,male,17
0,3,7.2292,male,15
0,3,7.25,male,47
1,3,12.475,female,5
0,3,7.225,male,NA
0,3,15.1,male,40.5
0,3,7.75,male,40.5
1,3,7.05,male,NA
0,3,7.7958,male,18
0,3,7.75,female,NA
0,3,7.75,male,NA
0,3,6.95,male,NA
0,3,7.8792,male,26
0,3,7.75,male,NA
1,3,56.4958,male,NA
0,3,34.375,female,21
0,3,34.375,female,9
0,3,8.05,male,NA
0,3,34.375,male,18
0,3,34.375,male,16
0,3,34.375,female,48
0,3,7.75,male,NA
0,3,7.25,male,NA
0,3,7.7417,male,25
0,3,14.5,male,NA
0,3,7.8958,male,NA
0,3,8.05,male,22
1,3,7.7333,female,16
1,3,7.75,female,NA
1,3,20.525,male,9
0,3,20.525,male,33
0,3,7.85,male,41
1,3,20.525,female,31
0,3,7.05,male,38
0,3,46.9,male,9
0,3,46.9,male,1
0,3,46.9,male,11
0,3,46.9,female,10
0,3,46.9,female,16
0,3,46.9,male,14
0,3,46.9,male,40
0,3,46.9,female,43
0,3,8.05,male,51
0,3,8.3625,male,32
0,3,8.05,male,NA
0,3,9.8458,male,20
0,3,7.925,male,37
0,3,7.925,male,28
0,3,7.775,male,19
0,3,8.85,female,24
0,3,7.7333,female,17
0,3,19.9667,male,NA
0,3,19.9667,male,NA
0,3,15.85,male,28
1,3,15.85,female,24
0,3,9.5,male,20
0,3,7.2292,male,23.5
0,3,14.1083,male,41
0,3,7.8542,male,26
0,3,7.8542,male,21
1,3,14.1083,female,45
0,3,7.55,female,NA
0,3,7.25,male,25
0,3,6.8583,male,NA
0,3,18.7875,male,11
1,3,7.75,female,NA
1,3,6.975,male,27
1,3,56.4958,male,NA
0,3,6.75,female,18
1,3,7.925,female,26
0,3,7.925,female,23
1,3,8.9625,female,22
0,3,7.8958,male,28
0,3,7.775,female,28
0,3,7.75,female,NA
1,3,12.2875,female,2
1,3,12.2875,female,22
0,3,6.45,male,43
0,3,22.525,male,28
1,3,7.925,female,27
0,3,7.75,male,NA
1,3,8.05,female,NA
0,3,7.65,male,42
1,3,7.8875,male,NA
0,3,7.2292,male,30
0,3,7.8958,male,NA
0,3,7.925,female,27
0,3,7.925,female,25
0,3,7.8958,male,NA
1,3,7.8958,male,29
1,3,7.7958,male,21
0,3,7.05,male,NA
0,3,7.8542,male,20
0,3,7.8542,male,48
0,3,7.0542,male,17
1,3,7.75,female,NA
1,3,8.1125,male,NA
0,3,6.4958,male,34
1,3,7.775,male,26
0,3,7.7958,male,22
0,3,8.6542,male,33
0,3,7.775,male,31
0,3,7.8542,male,29
1,3,11.1333,male,4
1,3,11.1333,female,1
0,3,0,male,49
0,3,7.775,male,33
0,3,0,male,19
1,3,11.1333,female,27
0,3,23.45,male,NA
0,3,23.45,female,NA
0,3,23.45,male,NA
0,3,23.45,female,NA
0,3,7.8958,male,23
1,3,7.8542,male,32
0,3,7.8542,male,27
0,3,9.825,female,20
0,3,9.825,female,21
1,3,7.925,male,32
0,3,7.125,male,17
0,3,8.4333,male,21
0,3,7.8958,male,30
1,3,7.7958,male,21
0,3,7.8542,male,33
0,3,7.5208,male,22
1,3,13.4167,female,4
1,3,13.4167,male,39
0,3,7.2292,male,NA
0,3,7.2292,male,18.5
0,3,7.75,male,NA
0,3,7.25,male,NA
1,3,7.75,female,NA
1,3,7.75,female,NA
0,3,7.8292,male,34.5
0,3,8.05,male,44
1,3,7.75,male,NA
0,3,14.4542,male,NA
0,3,14.4542,female,NA
0,3,7.75,male,NA
0,3,7.75,male,NA
0,3,7.7375,male,NA
0,3,8.6625,female,22
0,3,8.6625,male,26
1,3,22.025,female,4
1,3,22.025,male,29
1,3,22.025,female,26
0,3,12.1833,female,1
0,3,7.8542,male,18
0,3,12.1833,female,36
0,3,7.8958,male,NA
1,3,7.2292,male,25
0,3,7.225,male,NA
0,3,9.5875,female,37
0,3,7.8958,male,NA
1,3,56.4958,male,NA
0,3,56.4958,male,NA
1,3,7.25,female,22
0,3,7.75,male,NA
1,3,56.4958,male,26
0,3,9.4833,male,29
0,3,7.775,male,29
0,3,7.775,male,22
1,3,7.225,male,22
0,3,25.4667,male,NA
0,3,25.4667,female,NA
0,3,25.4667,female,NA
0,3,25.4667,female,NA
0,3,25.4667,female,NA
0,3,7.925,male,32
0,3,6.4375,male,34.5
0,3,15.5,female,NA
0,3,15.5,male,NA
0,3,0,male,36
0,3,24.15,male,39
0,3,9.5,male,24
0,3,7.775,female,25
0,3,7.75,female,45
0,3,15.55,male,36
0,3,15.55,female,30
1,3,7.925,male,20
0,3,7.8792,male,NA
0,3,56.4958,male,28
0,3,7.55,male,NA
0,3,16.1,male,30
0,3,16.1,female,26
0,3,7.8792,male,NA
0,3,7.25,male,20.5
1,3,8.6625,male,27
0,3,7.0542,male,51
1,3,7.8542,female,23
1,3,7.5792,male,32
0,3,7.8958,male,NA
0,3,7.55,male,NA
1,3,7.75,female,NA
1,3,7.1417,male,24
0,3,7.125,male,22
0,3,7.8792,female,NA
0,3,7.75,male,NA
0,3,8.05,male,NA
0,3,7.925,male,29
1,3,7.2292,male,NA
0,3,7.75,female,30.5
1,3,7.7375,female,NA
0,3,7.2292,male,NA
0,3,7.8958,male,35
0,3,7.8958,male,33
1,3,7.225,female,NA
0,3,7.8958,male,NA
1,3,7.75,female,NA
1,3,7.75,male,NA
1,3,23.25,female,NA
1,3,23.25,female,NA
1,3,23.25,male,NA
1,3,7.7875,female,NA
0,3,15.5,male,NA
1,3,7.8792,female,NA
1,3,8.0292,female,15
0,3,7.75,female,35
0,3,7.75,male,NA
0,3,16.1,male,24
0,3,16.1,female,19
0,3,7.75,female,NA
0,3,8.05,female,NA
0,3,8.05,female,NA
0,3,8.05,male,55.5
0,3,7.75,male,NA
1,3,7.775,male,21
0,3,8.05,male,NA
0,3,7.8958,male,24
0,3,7.8958,male,21
0,3,7.8958,male,28
0,3,7.8958,male,NA
1,3,7.8792,female,NA
0,3,7.65,male,25
1,3,12.475,male,6
1,3,12.475,female,27
0,3,8.05,male,NA
1,3,24.15,female,NA
0,3,24.15,male,NA
0,3,8.4583,male,NA
0,3,8.05,male,34
0,3,7.75,male,NA
1,3,7.775,male,NA
1,3,15.2458,male,NA
1,3,15.2458,male,NA
1,3,15.2458,female,NA
1,3,7.2292,female,NA
0,3,8.05,male,NA
1,3,7.7333,female,NA
1,3,7.75,female,24
0,3,8.05,male,NA
1,3,15.5,female,NA
1,3,15.5,female,NA
1,3,15.5,female,NA
0,3,7.75,male,18
0,3,7.8958,male,22
1,3,7.225,female,15
1,3,15.7417,female,1
1,3,15.7417,male,20
1,3,15.7417,female,19
0,3,8.05,male,33
0,3,7.8958,male,NA
0,3,7.2292,male,NA
0,3,7.75,female,NA
0,3,7.8958,male,NA
1,3,11.2417,male,12
1,3,11.2417,female,14
0,3,7.925,female,29
0,3,8.05,male,28
1,3,7.775,female,18
1,3,7.8542,female,26
0,3,7.8542,male,21
0,3,7.125,male,41
1,3,7.925,male,39
0,3,7.8,male,21
0,3,7.2292,male,28.5
1,3,7.75,female,22
0,3,6.2375,male,61
0,3,15.5,male,NA
0,3,7.8292,male,NA
1,3,15.5,female,NA
0,3,7.7333,male,NA
0,3,7.75,male,NA
0,3,7.75,male,NA
0,3,9.225,male,23
0,3,7.75,female,NA
1,3,7.75,female,NA
1,3,7.8792,female,NA
1,3,7.775,female,22
1,3,7.75,male,NA
1,3,7.8292,female,NA
1,3,3.1708,male,9
0,3,22.525,male,28
0,3,8.4042,male,42
0,3,7.3125,male,NA
0,3,7.8542,female,31
0,3,7.8542,male,28
1,3,7.775,male,32
0,3,9.225,male,20
0,3,8.6625,female,23
0,3,8.6625,female,20
0,3,8.6625,male,20
0,3,9.2167,male,16
1,3,8.6833,female,31
0,3,7.6292,female,NA
0,3,21.075,male,2
0,3,21.075,male,6
0,3,21.075,female,3
0,3,21.075,female,8
0,3,21.075,female,29
0,3,39.6875,male,1
0,3,39.6875,male,7
0,3,39.6875,male,2
0,3,39.6875,male,16
0,3,39.6875,male,14
0,3,39.6875,female,41
0,3,8.6625,male,21
0,3,14.5,male,19
0,3,8.7125,male,NA
0,3,7.8958,male,32
0,3,13.775,male,0.75
0,3,13.775,female,3
0,3,13.775,female,26
0,3,7,male,NA
0,3,7.775,male,NA
0,3,8.05,male,NA
0,3,7.925,male,21
0,3,7.925,male,25
0,3,7.25,male,22
1,3,7.775,male,25
1,3,22.3583,male,NA
1,3,22.3583,female,NA
1,3,22.3583,female,NA
0,3,8.1375,female,NA
0,3,8.05,male,24
0,3,7.8958,female,28
0,3,7.8958,male,19
0,3,7.8958,male,NA
0,3,7.775,male,25
0,3,7.775,female,18
1,3,8.05,male,32
0,3,7.8958,male,NA
0,3,8.6625,male,17
0,3,8.6625,male,24
0,3,7.8958,male,NA
0,3,8.1125,female,NA
0,3,7.2292,male,NA
0,3,7.25,male,NA
0,3,7.8958,male,38
0,3,8.05,male,21
0,3,29.125,male,10
0,3,29.125,male,4
0,3,29.125,male,7
0,3,29.125,male,2
0,3,29.125,male,8
